IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
185.194.53.245,443,TRUE,TLL,EE,Harjumaa,332,4.77,AS3214
188.95.70.211,443,TRUE,FRA,DE,Hesse,133,38.44,AS3214
178.22.26.47,8443,TRUE,FRA,DE,Hesse,136,39.05,AS3214
23.165.200.148,443,TRUE,FRA,DE,Hesse,301,1.0,AS3214
172.93.185.10,443,TRUE,FRA,DE,Hesse,296,2.87,AS3214
23.165.200.241,443,TRUE,FRA,DE,Hesse,299,0.23,AS3214
109.94.170.104,443,TRUE,FRA,DE,Hesse,197,15.45,AS3214
78.142.230.76,443,TRUE,AMS,NL,North Holland,1295,9.28,AS3214
89.106.207.108,443,TRUE,AMS,NL,North Holland,152,35.73,AS3214
89.106.207.157,443,TRUE,AMS,NL,North Holland,152,37.14,AS3214
188.95.70.102,443,TRUE,FRA,DE,Hesse,144,37.44,AS3214
188.95.70.78,443,TRUE,FRA,DE,Hesse,137,38.56,AS3214
23.165.200.143,443,TRUE,FRA,DE,Hesse,299,0.0,AS3214
178.22.26.54,443,TRUE,FRA,DE,Hesse,139,40.97,AS3214
45.147.48.147,443,TRUE,FRA,DE,Hesse,143,38.36,AS3214
88.218.193.1,443,TRUE,FRA,DE,Hesse,142,38.02,AS3214
78.142.228.156,443,TRUE,AMS,NL,North Holland,291,3.88,AS3214
